left_genes,left_loadings,right_genes,right_loadings
AT1G78670,-0.009724070057868394,AT2G07600,0.0002758237331330443
AT1G78680,-0.00983579398210941,AT2G07629,0.0009311027881669316
AT1G79530,-0.00931478165376031,AT2G07669,0.0008500599704307862
AT1G79790,-0.00918637404393116,AT2G07671,0.000978241572809729
AT1G80050,-0.009078842808221967,AT2G07672,0.00022741567886445994
AT1G80560,-0.0093294598494961,AT2G07673,0.00042431362809412977
AT1G80640,-0.00917616606753249,AT2G07676,0.0007031553465915787
AT1G80830,-0.008996114796726937,AT2G07677,0.0004972034064149328
AT2G01520,-0.00979849983343531,AT2G07678,0.000512497713860657
AT2G01690,-0.009037667046527566,AT2G07681,0.0004804171436237458
AT2G01890,-0.009166877257377531,AT2G07682,0.00110492978776075
AT2G01910,-0.00918238903053711,AT2G07683,0.0008136624225834967
AT2G02100,-0.009853191455045825,AT2G07685,0.00041970840485545236
AT2G02130,-0.01038508778782384,AT2G07686,0.0008900368953859719
AT2G03090,-0.009705123963964895,AT2G07687,0.001675912071801697
AT2G03350,-0.008965021528261818,AT2G07688,0.0002092227854497019
AT2G04160,-0.008994849857184416,AT2G07689,0.0013244700730748993
AT2G05440,-0.009885789226362511,AT2G07691,0.000127752985854196
AT2G05790,-0.009910582167212934,AT2G07693,0.000320501832795891
AT2G05990,-0.00978251544079402,AT2G07694,0.0002606102139320677
AT2G06850,-0.010025149483881113,AT2G07695,0.0010741757473190549
AT2G07050,-0.009054963750829908,AT2G07696,0.0013547085988587044
AT2G11910,-0.009058467380203801,AT2G07697,0.0010208294252688059
AT2G12462,-0.009390888451392503,AT2G07698,0.0005682549588060596
AT2G13820,-0.009638852410483185,AT2G07699,0.0004725158618876147
AT2G14900,-0.009456516402616886,AT2G07711,0.00044747256891316053
AT2G15090,-0.009177826515873122,AT2G07712,0.000389691992288837
AT2G15620,-0.008998090823099169,AT2G07716,0.00023519352903419844
AT2G15790,-0.00898376010466506,AT2G07723,0.0003821851961162689
AT2G16740,-0.009712619284147914,AT2G07727,0.0011427247283971574
AT2G16850,-0.009222871835934924,AT2G07733,0.001029342516974021
AT2G17320,-0.008971388207349294,AT2G07747,0.0006542404470595338
AT2G17560,-0.009259515441100194,AT2G07748,0.001617250204710678
AT2G17710,-0.009254509898465704,AT2G07749,0.0009445636943480103
AT2G18230,-0.009119220507671165,AT2G07755,0.00015411243862059013
AT2G18730,-0.009232875505347925,AT2G07767,0.00033192773344117106
AT2G18740,-0.008994639513079458,AT2G07768,0.001081613240056814
AT2G18876,-0.0089837965739039,AT2G07773,0.0006725957190527032
AT2G19110,-0.009174105068868295,AT2G07777,0.0007691371675187174
AT2G19720,-0.009040045935922572,AT2G07779,0.000575680108508287
AT2G20260,-0.008995181958377238,AT2G07783,0.0011277999019770348
AT2G20490,-0.00907427600800785,AT2G07784,0.00016627502570600646
AT2G20630,-0.009185574151960913,AT2G07785,0.001793693932644321
AT2G21790,-0.008966709639699937,AT2G07805,0.0003531803758260858
AT2G22170,-0.00936362530347011,AT2G07808,0.00045958162138144557
AT2G22230,-0.009866174131797174,AT2G07812,0.00014592005195837197
AT2G22330,-0.010080663580098846,AT2G07813,0.0006951946063157471
AT2G22480,-0.009047140858640534,AT2G08060,0.00019231834336939132
AT2G22670,-0.00925669760064156,AT2G08420,0.0011914665535516379
AT2G22970,-0.009569911560020688,AT2G08425,0.0008785752959863727
AT2G24290,-0.00916905025083743,AT2G08430,0.00018508196625155067
AT2G25060,-0.010628759204012244,AT2G08480,0.001557624323354833
AT2G25210,-0.008980433339066946,AT2G08500,0.0006458792517394069
AT2G25480,-0.009106094183678495,AT2G08595,0.0002662854788951146
AT2G25840,-0.008989584954655154,AT2G08655,0.000166876985911387
AT2G26250,-0.009347751537794699,AT2G08685,0.0001890325758828977
