genes,loadings
AT1G04163,-0.00171213523757602
AT1G04167,-8.047680163306273e-05
AT1G04170,-0.008129283146785377
AT1G04173,-0.0005692759416870842
AT1G04177,1.844760924102963e-05
AT1G04180,-0.004184016081030477
AT1G04183,-0.0012948599554725353
AT1G04187,-0.004298239112599624
AT1G04190,-0.008768806950004558
AT1G04193,-0.004284010093346963
AT1G04197,-0.004003214884904557
AT1G04200,-0.008187018436723812
AT1G04203,-0.0002171168870147876
AT1G04207,-9.240207149833152e-07
AT1G04210,-0.007532795926594126
AT1G04213,1.577573768674881e-05
AT1G04217,-0.005746008055817152
AT1G04220,-0.0074163529321705675
AT1G04223,-0.005146874152241751
AT1G04227,-0.0011167967005851816
AT1G04230,-0.0075203278957190105
AT1G04233,0.0012279543308862124
AT1G04237,-0.0035722345022905504
AT1G04240,-0.009275729425456515
AT1G04243,-1.0731096693235746e-05
AT1G04247,-0.0040784244425271865
AT1G04250,-0.009597160137934652
AT1G04253,6.43220496620063e-06
AT1G04257,-4.066700494860182e-05
AT1G04260,-0.00588483745753312
AT1G04263,-0.0006946826703316807
AT1G04267,-0.006498940485911768
AT1G04270,-0.006775837214527989
AT1G04273,-0.0066320047789978475
AT1G04277,-0.0061860374889029365
AT1G04280,-0.009105208264902086
AT1G04283,-2.5425740925557708e-05
AT1G04287,-1.53332810539657e-05
AT1G04290,-0.0073486129846239
AT1G04293,0.00011520475949776435
AT1G04295,-0.0032926889088358002
AT1G04297,-0.0017103151502223398
AT1G04300,-0.007825134940082894
AT1G04303,-0.0036178306291202588
AT1G04307,-0.00022616593677762041
AT1G04310,-0.006742455299733113
AT1G04313,-0.0024617082669098587
AT1G04320,-1.357156053619246e-05
AT1G04323,-0.0025447003366294314
AT1G04327,-6.426310991360013e-06
AT1G04330,-0.004017107710452476
AT1G04333,-1.2966556533986683e-06
AT1G04337,-3.16797100837378e-06
AT1G04340,-0.008319511882384804
AT1G04343,0.0007455536927994376
AT1G04347,-0.0028115115856203435
AT1G04350,-0.0066882515202360765
AT1G04353,-0.00426871740690568
AT1G04357,-0.004137643885997495
AT1G04360,-0.0051311018069936315
AT1G04363,8.075556055374357e-07
AT1G04367,-0.0009264444933132611
AT1G04370,-0.00082556039995939
AT1G04373,3.5227505839911725e-06
AT1G04377,6.301638144445667e-06
AT1G04380,-0.0010146800376707413
AT1G04383,-6.4221974966275925e-06
AT1G04387,0.0001528511173949816
AT1G04390,-0.006161949886481254
AT1G04397,-0.000443411522334435
AT1G04400,-0.00816014226027512
AT1G04403,-3.651286478476297e-05
AT1G04407,-8.556608487623436e-05
AT1G04410,-0.007062891224153486
AT1G04413,-0.0008447908704868463
AT1G04417,-0.0007232328951390822
AT1G04420,-0.008256754914367408
AT1G04425,-0.008167341124285708
AT1G04427,-0.0024539100357280647
AT1G04430,-0.009187520700986294
AT1G04433,-0.003267437427153572
AT1G04437,-0.0012455548908702227
AT1G04440,-0.00836970566643832
AT1G04443,5.05731629143775e-06
AT1G04445,-0.0012204738849323255
AT1G04447,-2.6348972354557217e-06
AT1G04450,-1.7510029012287619e-06
AT1G04453,7.099175121411974e-09
AT1G04455,-0.0003461452167391568
AT1G04457,-0.00036895029691851733
AT1G04463,-0.0027103453378341078
AT1G04467,-0.0023811232696952403
AT1G04470,-5.7785523718206704e-05
AT1G04473,-0.0034065492774521264
AT1G04477,-0.004526761551547969
AT1G04480,-0.00665269992118849
AT1G04483,-0.0008752027346564313
AT1G04487,0.0015809150992013644
AT1G04490,-0.003114096146213602
AT1G04493,-0.0006533378625325454
AT1G04497,4.11180788786999e-05
AT1G04500,-0.0008990032770976149
AT1G04503,0.002355620805908205
AT1G04507,-0.0006022658981201464
AT1G04510,-0.008430258164063089
AT1G04513,-0.002302770385843671
AT1G04517,-0.0008172097160009055
AT1G04520,-0.009033856495434112
AT1G04523,-0.00010783154794573436
AT1G04527,-0.0003805262864626654
AT1G04530,-0.008515801062087021
AT1G04533,-0.0004754240453191297
AT1G04537,-0.004455580043556514
AT1G04540,-0.004714801658015417
AT1G04547,-0.00039678568923793504
