SampleID,family,TissueClean,stress,AboveBelow,VegetativeRepro,true_labels,predictions
SRR8352633,Brassicaceae,Seed,healthy,WholePlant,Reproductive,15,15
SRR8352635,Brassicaceae,Seed,healthy,WholePlant,Reproductive,15,15
SRR8352640,Brassicaceae,Seed,healthy,WholePlant,Reproductive,15,15
SRR8352639,Brassicaceae,Seed,healthy,WholePlant,Reproductive,15,15
SRR8352642,Brassicaceae,Seed,healthy,WholePlant,Reproductive,15,15
SRR8352626,Brassicaceae,Seed,healthy,WholePlant,Reproductive,15,15
SRR8352625,Brassicaceae,Seed,healthy,WholePlant,Reproductive,15,15
SRR8352632,Brassicaceae,Seed,healthy,WholePlant,Reproductive,15,15
SRR630923,Brassicaceae,Flower,healthy,Above,Reproductive,3,16
SRR630924,Brassicaceae,Leaf,healthy,Above,Vegetative,7,18
SRR630925,Brassicaceae,Root,healthy,Below,Vegetative,13,13
SRR630926,Brassicaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR630927,Brassicaceae,Shoot,healthy,Above,Vegetative,18,7
SRR8692572,Solanaceae,Leaf,cold,Above,Vegetative,7,7
SRR8692573,Solanaceae,Leaf,cold,Above,Vegetative,7,7
SRR8692574,Solanaceae,Leaf,cold,Above,Vegetative,7,7
SRR8692575,Solanaceae,Leaf,cold,Above,Vegetative,7,7
SRR8692576,Solanaceae,Leaf,cold,Above,Vegetative,7,7
SRR8692577,Solanaceae,Leaf,cold,Above,Vegetative,7,7
SRR8692568,Solanaceae,Leaf,cold,Above,Vegetative,7,7
SRR8692591,Solanaceae,Leaf,cold,Above,Vegetative,7,16
SRR8692592,Solanaceae,Leaf,cold,Above,Vegetative,7,7
SRR8692569,Solanaceae,Leaf,cold,Above,Vegetative,7,16
SRR8692570,Solanaceae,Leaf,cold,Above,Vegetative,7,7
SRR8692571,Solanaceae,Leaf,cold,Above,Vegetative,7,7
SRR8692608,Solanaceae,Leaf,cold,Above,Vegetative,7,7
SRR8692609,Solanaceae,Leaf,cold,Above,Vegetative,7,7
SRR8692610,Solanaceae,Leaf,cold,Above,Vegetative,7,7
SRR8692613,Solanaceae,Leaf,heat,Above,Vegetative,7,16
SRR8692633,Solanaceae,Leaf,heat,Above,Vegetative,7,7
SRR8692634,Solanaceae,Leaf,heat,Above,Vegetative,7,7
SRR8692631,Solanaceae,Leaf,heat,Above,Vegetative,7,16
SRR8692632,Solanaceae,Leaf,heat,Above,Vegetative,7,7
SRR8692637,Solanaceae,Leaf,heat,Above,Vegetative,7,7
SRR8692605,Solanaceae,Leaf,heat,Above,Vegetative,7,7
SRR8692606,Solanaceae,Leaf,heat,Above,Vegetative,7,7
SRR8692607,Solanaceae,Leaf,heat,Above,Vegetative,7,7
SRR8692603,Solanaceae,Leaf,heat,Above,Vegetative,7,7
SRR8692604,Solanaceae,Leaf,heat,Above,Vegetative,7,7
SRR8692614,Solanaceae,Leaf,heat,Above,Vegetative,7,7
SRR8692635,Solanaceae,Leaf,heat,Above,Vegetative,7,16
SRR8692636,Solanaceae,Leaf,heat,Above,Vegetative,7,16
SRR8692638,Solanaceae,Leaf,heat,Above,Vegetative,7,7
SRR8692578,Solanaceae,Leaf,other,Above,Vegetative,7,16
SRR8692585,Solanaceae,Leaf,other,Above,Vegetative,7,16
SRR8692640,Solanaceae,Leaf,other,Above,Vegetative,7,16
SRR8692581,Solanaceae,Leaf,other,Above,Vegetative,7,7
SRR8692615,Solanaceae,Leaf,other,Above,Vegetative,7,7
SRR8692630,Solanaceae,Leaf,other,Above,Vegetative,7,7
SRR8692582,Solanaceae,Leaf,other,Above,Vegetative,7,7
SRR8692584,Solanaceae,Leaf,other,Above,Vegetative,7,7
SRR8692626,Solanaceae,Leaf,other,Above,Vegetative,7,7
SRR8692586,Solanaceae,Leaf,other,Above,Vegetative,7,16
SRR8692612,Solanaceae,Leaf,other,Above,Vegetative,7,16
SRR8692643,Solanaceae,Leaf,other,Above,Vegetative,7,16
SRR8692583,Solanaceae,Leaf,other,Above,Vegetative,7,7
SRR8692628,Solanaceae,Leaf,other,Above,Vegetative,7,7
