AboveBelow,PC1,PC2
WholePlant,-81.77385664173889,-1549.7600564141324
Above,-82.47792412586176,-1544.8155122672931
Above,-81.15568181249506,-1521.6371461320944
WholePlant,-80.86304211895072,-1543.9625447253688
Above,-81.52904281928127,-1542.0538453514168
Above,-80.32934114420651,-1533.3292151625753
WholePlant,-81.44134695498374,-1524.7359899449598
Above,-81.75490638727179,-1544.3444275548584
Above,-80.75455155745831,-1557.2613472968055
WholePlant,-86.19289622561084,-1466.662373179985
WholePlant,-82.28924862525216,-1546.7610396460288
Below,-79.91723593718841,-1573.72229256791
Above,-82.10580761431238,-1541.9474865635432
Above,-80.63095116647638,-1560.1273884817608
Above,-79.74770968624088,-1571.9273570528962
WholePlant,-80.23459310009194,-1492.1002991914972
Above,-66.49412149867392,-1547.4194839935265
Above,-79.8680086708059,-1553.697048656452
Above,-80.98350199422676,-1545.9278333496547
WholePlant,-82.48992774582705,-1550.214447561813
Below,-82.72532075383243,-1573.0391299621285
Above,-81.62620247141876,-1547.1794914767786
WholePlant,-76.41791153084421,-1538.0193540256437
Below,-82.45922180970365,-1548.5073466080053
Above,-81.34155254015147,-1544.006626006705
Above,-81.90262576033497,-1544.6464591277966
Above,-82.97459293779389,-1529.4958663428215
Above,-79.63109738831893,-1571.6673411504335
WholePlant,-81.68258829002808,-1546.7783934442855
Above,-81.54615418504525,-1537.5051336240529
Above,-81.35851578947805,-1546.0542794063126
Below,-81.9064702828372,-1542.003397505006
Above,-82.88738031688212,-1528.791446238283
WholePlant,-83.26129189599291,-1509.7234269664914
Below,-80.61779218202868,-1566.1345810530142
Above,-79.72669070041805,-1571.2131124001487
WholePlant,-77.37877437261562,-1559.5054198730652
Above,-81.44175570144674,-1549.8918699294336
Above,-82.62445482134821,-1566.0133361955836
Above,-83.61579213281021,-1580.8331322294146
Above,-82.0057339031093,-1542.053894529053
WholePlant,-80.54023398479235,-1550.7972193741036
Above,-79.378772733228,-1561.2367873544467
WholePlant,-80.06927792407345,-1562.817973025113
WholePlant,-82.5441442786018,-1519.0595029867961
Above,-81.23246381154217,-1515.68347954798
Above,-49.52230819641813,-1550.3859385298128
Above,-80.77731806370436,-1570.6888370854056
Above,-82.71306594418012,-1542.5085287568272
Above,-81.6116985754268,-1542.3038685913036
Below,-79.94801197266116,-1569.6932563197986
Below,-80.88615330346914,-1530.0779566050544
Above,-46.28625746388298,-1550.2812419699906
Above,-78.35751092135453,-1563.8680346239287
Below,-82.78477436277859,-1536.7471142737745
Above,-82.46919380721475,-1533.774399795104
Above,-81.17644130152249,-1521.3333332774723
WholePlant,-81.07714195060522,-1535.6287793570777
Above,-81.82950258658545,-1534.9160540364014
WholePlant,-83.46979969328395,-1549.287111660717
WholePlant,-81.440933075361,-1547.4612823453888
WholePlant,-83.64733989960303,-1527.6399305877676
Above,-80.87280198118853,-1547.409857740438
Below,-82.20847459572734,-1546.9899081004905
Above,-82.94742145705315,-1569.225031443507
WholePlant,-82.15736957693927,-1561.6350069550588
Above,-80.9030573741138,-1572.7611700068426
Below,-79.97308060990115,-1564.676870422391
Above,-54.48028237814898,-1550.1908744902141
Below,-83.90456647237951,-1518.4200546328473
Above,-82.16415043769582,-1534.727272197224
Above,-82.2467476654525,-1540.283253704545
Above,-83.24558269546503,-1577.3149882523714
WholePlant,-81.05476079698822,-1562.4607391935454
Above,-82.91753595084022,-1504.26928743314
Above,-80.30917326531177,-1552.286799322118
Above,-82.84691023562526,-1533.3084034736062
Above,-82.59747109108493,-1524.2840427693336
Above,-82.82928571368055,-1541.796941850169
Above,-83.71258853738043,-1543.6511718609797
Above,-76.38568881077201,-1507.8281482900525
WholePlant,-75.79963009426301,-1500.1925685942256
Above,-82.54866018974619,-1546.857520187486
Below,-80.91683340515848,-1560.1484556791384
Above,-81.80440980420406,-1546.9093200796035
Above,-83.14451970818853,-1535.8862485567977
Above,-85.12389668876072,-1531.2689743279548
WholePlant,-81.7877340930863,-1549.0784047040345
Above,-80.53380188084307,-1570.7645800148857
Other,-81.5793473529711,-1554.4568146053139
WholePlant,-84.44316107269233,-1494.7004533370002
WholePlant,-80.18869183375595,-1548.1563731657327
Above,-74.89855114413797,-1506.117475410178
Below,-81.54835247178309,-1561.982507143512
WholePlant,-79.8678302798034,-1522.571865438189
Above,-80.12991926008992,-1569.7722218803335
Above,-84.12514522290462,-1504.9948019058809
WholePlant,-81.7074616524609,-1545.3581486302342
Above,-82.27960746864167,-1543.4747698721008
Above,-82.14397634091111,-1518.0168299286008
WholePlant,-81.36909188057159,-1559.5363897938946
Above,-82.02836403131545,-1553.7320191987267
Above,-82.12631771442035,-1543.5414406515076
Above,-83.31851571264062,-1527.2095159189237
Below,-82.15586667635063,-1534.66503618804
WholePlant,-79.20806066705136,-1572.779014960222
Above,-82.0568888991082,-1539.0990297959006
Below,-82.12563751458295,-1552.1595835888195
Above,-83.62977399268875,-1534.4755157112093
Above,-82.48027000979529,-1545.8979939016415
Above,-81.1783435444845,-1519.1057532605196
WholePlant,-81.11064045412805,-1562.8371284191112
WholePlant,-79.5077212032077,-1556.8515595962406
Other,-81.24921250019706,-1542.4228833868042
Above,-81.03988413654083,-1549.9890460686029
Below,-82.7605650730205,-1568.8525587169343
WholePlant,-83.8099251256312,-1568.5920327710628
Other,-81.23125964844746,-1543.3574593235626
WholePlant,-81.58502615929515,-1544.5951356028427
Above,-82.33716576837239,-1541.3502727312539
WholePlant,-82.01880469253426,-1544.763478192002
Below,-81.87087040472443,-1547.2616396419678
Above,-82.4968864682606,-1539.1807242197956
WholePlant,-82.66480661828643,-1529.3818583491045
WholePlant,-82.01055256417894,-1525.132419704398
WholePlant,-81.53823226450032,-1524.1435190186232
Above,-82.71642202965783,-1532.3061707874951
WholePlant,-80.78285922230603,-1548.8668313156293
Above,-80.70063250553767,-1563.2935479288824
Below,-78.91403696787117,-1540.3722250320707
WholePlant,-80.71907179946992,-1519.9061859153844
Above,-80.89591222169398,-1570.0691528281347
Above,-81.06674614627666,-1540.4808978198298
WholePlant,-82.61724434049928,-1542.3345679425515
WholePlant,-82.07691894038454,-1539.3577328973581
Above,-80.43996989834255,-1573.5718671810444
WholePlant,-82.9468805292556,-1561.5491988966987
Above,-83.56502418658224,-1523.4623945482351
Below,-80.12765382341861,-1569.8253522497987
Above,-81.78645069175208,-1547.9869329387334
WholePlant,-82.80706946935959,-1542.6668330886073
WholePlant,-82.04353256118097,-1536.6371946056015
Above,-82.31176383023639,-1543.9509958387678
WholePlant,-82.84365881558121,-1552.8003880177523
Above,-81.35748059744942,-1554.6726949625818
Above,-80.68523156476428,-1548.8906263704982
Above,-84.00453118222103,-1553.366126347193
Below,-80.55327164046882,-1533.1103614608658
Below,-82.41128742181236,-1547.8767206543455
WholePlant,-81.15066271357385,-1553.6428150400372
WholePlant,-82.04640710261286,-1557.0073609957406
Above,-82.48440923129803,-1537.7834300462414
Above,-79.82157056215856,-1553.4020825426712
Above,-81.32201258882195,-1519.7307382182546
WholePlant,-81.03044112463533,-1538.3750058180085
Above,-81.96842754447233,-1537.3425817683276
Above,-83.56445114277669,-1522.2100117690452
WholePlant,-81.27794027386068,-1534.352440745522
WholePlant,-81.2458711946801,-1554.954400032764
Other,-82.53284944982126,-1518.9825694406195
WholePlant,-82.01977020043957,-1532.4818445038288
Other,-82.25576433742064,-1537.5310546205747
Above,-72.24916030207191,-1525.3353917004868
Above,-82.19577915399543,-1538.987898802521
WholePlant,-81.81324906898206,-1566.4791365004558
Above,-80.56462603885757,-1544.2297306534751
Other,-82.15092671730739,-1538.9648283887925
WholePlant,-82.45551612402767,-1551.325241464453
WholePlant,-81.87419269705838,-1538.3999816912026
Below,-80.65103808194694,-1554.4446530063206
WholePlant,-79.45980218940814,-1569.8383957970877
WholePlant,-83.44304618061355,-1523.4411171239276
Above,-84.38200262791078,-1550.7626361705493
Above,-83.14230887406819,-1547.212977767351
Above,-83.65267633998658,-1515.669157173351
WholePlant,-81.86067505694625,-1540.5336761900257
WholePlant,-82.13784168887803,-1547.487936761095
Above,-83.09137660573123,-1533.831163594141
Other,-79.32282648148241,-1566.540802678744
Below,-80.50834311865329,-1516.457962941112
Below,-79.13514863975595,-1547.0710588055974
Above,-80.25208953863715,-1544.6549931960337
Above,-82.96895625011199,-1537.0974997584744
Above,-85.62696507539665,-1442.567034944003
Above,-81.15380798814832,-1557.711798591058
WholePlant,-82.86131737699004,-1531.852903504308
Below,-81.40032042456282,-1563.1867302545602
WholePlant,-81.7800248580415,-1543.838437604511
Above,-83.79445758646297,-1551.445939537955
WholePlant,-82.2633211232328,-1563.8833129662548
Below,-81.81576258179727,-1556.0562587600875
Above,-79.55411798921786,-1574.7534829479062
WholePlant,-82.93244101905394,-1529.7477591029212
Above,-84.45229879905412,-1554.4030857435198
WholePlant,-85.63122995871493,-1470.981256282593
WholePlant,-82.03530092211906,-1529.8860385189391
WholePlant,-82.27660723651756,-1546.999224624335
WholePlant,-81.88242172601579,-1546.8542119647461
Below,-81.61271497933629,-1542.729731167049
Above,-81.0118679933153,-1519.5321694922409
Above,-82.06092364221044,-1542.5778701045401
WholePlant,-81.515586281389,-1555.420907368465
WholePlant,-80.84752091899078,-1528.2662992546764
WholePlant,-82.36390364939768,-1548.3596503461786
Above,-81.7764107230419,-1574.4663824935947
WholePlant,-81.37777471034475,-1547.9301275382506
Above,-83.60160750711896,-1518.8718880776166
Above,-80.53866741361315,-1545.8208716317724
WholePlant,-82.78889345860671,-1535.9822546239782
Above,-80.01419710398847,-1551.8826945404087
Above,-79.9784466795502,-1571.8168984837012
WholePlant,-82.21891765556553,-1532.9220444801938
Above,-82.06265498086948,-1532.6648525230137
WholePlant,-81.6340875389721,-1549.214863576298
Above,-81.31053140969675,-1546.7065621110282
Above,-82.89564507595146,-1544.9752004974735
Below,-79.99144400230621,-1549.2348849921907
Below,-81.02941933938709,-1536.1566724715806
Below,-81.96935386291396,-1483.3554123093909
Above,-81.60030105582631,-1517.540321610537
Above,-83.74197561189474,-1500.2596618529553
Above,-49.75024618543929,-1550.5374995882764
WholePlant,-81.44251009685969,-1567.8062238320051
WholePlant,-82.12439995403814,-1551.3035953087954
WholePlant,-82.52980347287942,-1530.0730735939153
WholePlant,-78.0672648141177,-1538.9025997352871
Above,-71.17457861044315,-1564.8307248102692
Above,-55.60406408544485,-1545.6334080765594
WholePlant,-81.39894038932094,-1534.044884338653
WholePlant,-82.97346024297335,-1510.8251766025876
Above,-81.09546130116937,-1498.4906454609775
WholePlant,-81.71513347200825,-1565.456629138478
Above,-82.84947664479692,-1541.0615839447344
WholePlant,-79.28008751282414,-1561.981048153256
Above,-84.00736070875256,-1511.5775566177724
Above,-83.27153930896893,-1545.5686052564738
WholePlant,-82.29690658387938,-1543.632034262827
Below,-82.32965937584068,-1535.5849281909711
Above,-79.95437552884705,-1570.668434513633
Above,-82.68401253521898,-1544.2049923731843
Above,-81.49607790506384,-1531.68557821333
WholePlant,-83.0866746427238,-1514.7905847404559
Below,-82.05416385337965,-1531.6545400329246
Above,-82.86838301818838,-1540.0517703062378
Below,-81.78476056120991,-1579.0663503729018
WholePlant,-82.20992134159538,-1548.1946594393855
Other,-80.17878954594102,-1566.9191480243562
WholePlant,-81.86207528055495,-1565.9330351192225
Above,-81.27781351885884,-1515.464963493426
Other,-82.78233477755319,-1513.4497515948503
WholePlant,-82.07512120805798,-1499.7508249388136
WholePlant,-83.68569185061817,-1519.0020371337441
WholePlant,-82.5375550372205,-1516.3810691724298
