genes,loadings
AT1G09730,-0.012962421548252863
AT1G09740,-0.013007154206098118
AT1G09760,-0.015598803814750203
AT1G09770,-0.013112014638564701
AT1G09780,-0.014621268621807758
AT1G09795,-0.016930842079007094
AT1G09800,-0.01110366623114525
AT1G09815,-0.013728018805427464
AT1G09830,-0.015094169184123122
AT1G09870,-0.01398626188399792
AT1G09920,-0.01437846742641834
AT1G09940,-0.010792050975993084
AT1G09960,-0.010667731903562218
AT1G09970,-0.008369562275031033
AT1G09980,-0.013689095334969332
AT1G10050,-0.010817277978343604
AT1G10090,-0.013055780501300953
AT1G10095,-0.010499142632036045
AT1G10120,-0.014121918308145118
AT1G10130,-0.014862544207236168
AT1G10170,-0.008828928381984387
AT1G10180,-0.014087618963092855
AT1G10270,-0.010223326303921277
AT1G10280,-0.009923285130090113
AT1G10290,-0.014098962818552618
AT1G10300,-0.003402644793991217
AT1G10320,-0.01292850124022951
AT1G10385,-0.00044109657117953795
AT1G10390,-0.013246293332704199
AT1G10410,-0.01202835972708213
AT1G10490,-0.014481017072277134
AT1G10500,-0.013830149890331057
AT1G10510,-0.01644473656126709
AT1G10520,-0.0075711329892607405
AT1G10522,-0.015171208895916246
AT1G10560,-0.00513109950300421
AT1G10570,-0.0138813177528373
AT1G10580,-0.011033389683062708
AT1G10680,-0.00010397809402593598
AT1G10700,-0.013620201494903698
AT1G10730,-0.011934557097558904
AT1G10740,-0.01257848611450825
AT1G10760,-0.015332333298507103
AT1G10780,-0.011407028821932196
AT1G10830,-0.013685615371974302
AT1G10840,-0.014414846129198359
AT1G10850,-0.013428473047102063
AT1G10900,-0.013244547299832703
AT1G10910,-0.015833173844798886
AT1G10930,-0.013542711102500724
AT1G10970,-0.011962331148674753
AT1G11000,-0.011090559293088916
AT1G11060,-0.011817673490244119
AT1G11080,-0.008041916150367697
AT1G11090,0.0025392239908629665
AT1G11110,-0.00015260564499471133
AT1G11200,-0.01278036383767131
AT1G11240,-0.010946478250071652
AT1G11320,-0.009979677344656664
AT1G11380,-0.011926969879781799
