AboveBelow,PC1,PC2
Above,-91.43743180291152,-1493.0581239132478
Above,-92.44751697740395,-1495.9729707257736
Above,-92.31336174373564,-1501.7914858264985
Above,-92.1480256033972,-1494.452880248985
Below,-86.63520943133626,-1557.8084745784004
Below,-87.39306035560934,-1559.8811502068822
Below,-87.08927817943928,-1561.2688319288136
Below,-87.63572590508663,-1555.7964444199001
Above,-90.2969500117395,-1528.9372746258136
Above,-89.49132180630265,-1527.2970277623285
Above,-90.89894382801282,-1529.5429654555476
Above,-90.70116605050818,-1528.3289151658905
Above,-87.86895540851471,-1546.8493156226064
Above,-89.81369428368345,-1550.5438805890956
Above,-90.15731074208647,-1543.8969761529274
Above,-90.04766235982571,-1548.9277869539596
Above,-87.08265345193465,-1396.430294562437
Above,-86.60881172256069,-1377.8895557267704
Above,-86.2323508327285,-1383.0536612219012
Above,-85.77904021576916,-1416.7747281935588
Above,-85.55221918033442,-1406.5943148260837
Above,-86.1361849851611,-1407.231570065859
Above,-86.21062064772222,-1391.0541141047765
Above,-85.85702523170917,-1393.2755471923258
Above,-85.278475606743,-1402.1814286399972
Above,-86.73464247258735,-1414.4622165050414
Above,-86.55994692723237,-1354.0343776498219
Above,-84.60285208204205,-1395.619339518721
Above,-93.56666172616062,-1450.5912267981319
Above,-94.18136859251305,-1453.381359587404
Above,-93.72906157751372,-1462.8694162381557
Above,-94.62457451490181,-1451.2214747442981
Above,-94.30569027514274,-1446.7946739550018
Above,-94.80338837717144,-1436.864200462842
Below,-82.42009998837725,-1561.9414163200277
Below,-82.03425488068706,-1560.6501146744445
Below,-82.20057886855817,-1560.8187759214404
Above,-79.37386866754214,-1551.6424527634176
Above,-79.55667676068774,-1552.1547321976661
Above,-88.37946056064371,-1502.9005191295225
Above,-88.34052768008038,-1504.3340313096846
Above,-88.91320616800962,-1503.703262225075
Above,-78.6118750089026,-1558.2906698390022
Above,-77.8026692154713,-1556.7400285570616
Above,-77.90188149127381,-1557.599380569784
Above,-92.76960228437687,-1552.3661358558563
Above,-89.8245222364708,-1519.2239926031557
Above,-94.66309431548996,-1535.516231645533
Above,-90.67347191635189,-1542.1767461373313
Above,-91.99112222249241,-1545.4726159640609
Below,-88.56786666539534,-1573.0350647786504
Above,-89.51501879656227,-1521.1572311348382
Above,-93.15777501104904,-1396.1445849674167
Above,-82.6296495063907,-1566.0166405253956
Above,-96.26811972871256,-1541.8561044972357
Above,-94.34681247904058,-1564.760898294022
Above,-93.70347953926792,-1553.5576754693948
Above,-92.48737502755446,-1547.1476291416107
WholePlant,-91.25830229105529,-1535.971145147916
WholePlant,-95.52983541737427,-1558.4418604068346
Other,-93.13931706871008,-1573.3346105562957
Above,-91.14797575540483,-1546.8142799623615
Above,-93.85147775726475,-1560.03083335015
Above,-90.60701417769259,-1528.6331110519027
Above,-91.14050833040815,-1550.7044698558332
Above,-94.44506513376119,-1557.6260688609436
Above,-94.74399017591972,-1547.9459173382106
Above,-93.82291152776797,-1554.8004134887979
