SampleID,family,tissue,stress,AboveBelow,VegetativeRepro,PC1,PC2
SRR8464311,Cucurbitaceae,leaf,healthy,Above,Vegetative,25.90387866026679,29.970400096249648
SRR8464312,Cucurbitaceae,leaf,healthy,Above,Vegetative,18.159376359819863,26.496818619479853
SRR8464313,Cucurbitaceae,leaf,healthy,Above,Vegetative,11.114289990004004,26.879396519421388
SRR8464314,Cucurbitaceae,leaf,healthy,Above,Vegetative,6.682548077497935,25.969037933144886
SRR8464317,Cucurbitaceae,leaf,biotic,Above,Vegetative,-10.156706001274287,-2.3317726946301383
SRR8464318,Cucurbitaceae,leaf,biotic,Above,Vegetative,-12.254710454927924,-2.3750394168752154
SRR8464328,Cucurbitaceae,leaf,biotic,Above,Vegetative,-5.870488782316643,-0.9141151960543602
SRR8464319,Cucurbitaceae,leaf,healthy,Above,Vegetative,35.27726411722473,34.11969525194543
SRR8464325,Cucurbitaceae,leaf,healthy,Above,Vegetative,11.01730419118502,27.188829706445723
SRR8464326,Cucurbitaceae,leaf,healthy,Above,Vegetative,15.247737180851693,29.49054807416436
SRR8464320,Cucurbitaceae,leaf,healthy,Above,Vegetative,22.98779355282363,35.12341995460165
SRR8464321,Cucurbitaceae,leaf,healthy,Above,Vegetative,18.116398858803993,29.505220517238175
SRR8464322,Cucurbitaceae,leaf,healthy,Above,Vegetative,16.413954008339008,30.483329078497007
SRR8464327,Cucurbitaceae,leaf,biotic,Above,Vegetative,-9.656166884307117,-8.17019955305971
SRR8464329,Cucurbitaceae,leaf,biotic,Above,Vegetative,-13.06607553960715,-2.264523311367129
SRR2452449,Brassicaceae,fruit,healthy,Above,Reproductive,-32.508387669595244,-14.052772865323792
SRR2452450,Brassicaceae,fruit,cold,Above,Reproductive,-22.02183436239171,-9.130038776915216
SRR2452451,Brassicaceae,fruit,cold,Above,Reproductive,-28.863513618091282,-16.30189396602048
SRR2452455,Brassicaceae,fruit,healthy,Above,Reproductive,-15.755486454755015,-15.530888943857923
SRR2452456,Brassicaceae,fruit,cold,Above,Reproductive,-13.615553919002911,-14.222913990147086
SRR2452457,Brassicaceae,fruit,cold,Above,Reproductive,-13.014159586943222,-12.703771299005043
SRR2452458,Brassicaceae,fruit,healthy,Above,Reproductive,-12.865398973158944,-13.766332841722605
SRR2452459,Brassicaceae,fruit,cold,Above,Reproductive,-19.163975504862872,-15.733155312369858
SRR2452460,Brassicaceae,fruit,cold,Above,Reproductive,-14.605829509340774,-17.100416627068448
SRR2452461,Brassicaceae,fruit,healthy,Above,Reproductive,-9.820041466641829,-18.82051151644033
SRR2452462,Brassicaceae,fruit,cold,Above,Reproductive,-11.359087922461685,-13.580879868112852
SRR2452463,Brassicaceae,fruit,cold,Above,Reproductive,-8.169795539497281,-13.93744031213437
SRR1048145,Brassicaceae,seedling,healthy,WholePlant,WholePlant,3.0127914680288237,11.732707286504601
SRR1048146,Brassicaceae,seedling,heat,WholePlant,WholePlant,28.26141716011215,6.778008152542787
SRR1048148,Brassicaceae,seedling,drought,WholePlant,WholePlant,19.585829785423094,1.2521682033160242
SRR1544278,Brassicaceae,leaf,healthy,Above,Vegetative,50.64342098898326,32.903175435293626
SRR1549533,Brassicaceae,leaf,drought,Above,Vegetative,34.8147587602287,9.358885574571165
SRR1549534,Brassicaceae,root,healthy,Below,Vegetative,58.33125410411445,-53.032679430688134
SRR1549535,Brassicaceae,root,drought,Below,Vegetative,72.28470720759312,-54.19701858144986
SRR11412368,Brassicaceae,leaf,drought,Above,Vegetative,67.69716809612477,24.839628608559277
SRR11412441,Brassicaceae,leaf,drought,Above,Vegetative,38.00956355806372,27.855531490805873
SRR11412576,Brassicaceae,leaf,drought,Above,Vegetative,94.38457315718405,25.282198387635315
SRR11412369,Brassicaceae,leaf,drought,Above,Vegetative,62.47546924402465,28.74220386249615
SRR11412453,Brassicaceae,leaf,drought,Above,Vegetative,104.00347014730885,30.732210280312245
SRR11412577,Brassicaceae,leaf,drought,Above,Vegetative,44.787198740421644,39.07841412916323
SRR11412567,Brassicaceae,leaf,healthy,Above,Vegetative,78.15030160398868,37.70818897096591
SRR11412587,Brassicaceae,leaf,healthy,Above,Vegetative,48.36040877771713,44.54641224264191
SRR11412593,Brassicaceae,leaf,healthy,Above,Vegetative,45.72152701330567,38.71145158493718
SRR11412568,Brassicaceae,leaf,healthy,Above,Vegetative,55.423390369291106,51.329017741259264
SRR11412588,Brassicaceae,leaf,healthy,Above,Vegetative,54.119143170672,52.272016343743964
SRR11412595,Brassicaceae,leaf,healthy,Above,Vegetative,47.65500435834993,50.21777054763634
SRR10065360,Brassicaceae,leaf,salt,Above,Vegetative,129.1148702785266,33.21499263683679
SRR10065361,Brassicaceae,leaf,salt,Above,Vegetative,47.787583188431036,33.62613103610856
SRR10065362,Brassicaceae,leaf,healthy,Above,Vegetative,57.949583027308364,34.97578464558822
SRR10065363,Brassicaceae,leaf,healthy,Above,Vegetative,64.74732519248158,40.99169060348725
SRR8352634,Brassicaceae,seed,healthy,WholePlant,Reproductive,16.886896622301375,-15.829464003649118
SRR8352633,Brassicaceae,seed,healthy,WholePlant,Reproductive,20.33960164401694,-13.586595500876742
SRR8352635,Brassicaceae,seed,healthy,WholePlant,Reproductive,20.897040662432758,-17.733549445754058
SRR8352640,Brassicaceae,seed,healthy,WholePlant,Reproductive,70.12545332644821,-35.1171025007292
SRR8352639,Brassicaceae,seed,healthy,WholePlant,Reproductive,69.94779626281228,-24.15687636966545
SRR8352642,Brassicaceae,seed,healthy,WholePlant,Reproductive,60.902060182528274,-34.43620603108683
SRR8352626,Brassicaceae,seed,healthy,WholePlant,Reproductive,83.8279117767187,-42.96101743787954
SRR8352625,Brassicaceae,seed,healthy,WholePlant,Reproductive,101.8326333079458,-45.05362959141309
SRR8352632,Brassicaceae,seed,healthy,WholePlant,Reproductive,80.04532764725268,-42.73585396139795
SRR630923,Brassicaceae,flower,healthy,Above,Reproductive,42.217848417477335,-3.839666831381458
SRR630924,Brassicaceae,leaf,healthy,Above,Vegetative,19.998417575637063,-24.590977014422208
SRR630925,Brassicaceae,root,healthy,Below,Vegetative,65.59876261439629,-65.24607365089156
SRR630926,Brassicaceae,fruit,healthy,Above,Reproductive,11.603196965461258,0.4050713160293841
SRR630927,Brassicaceae,stem,healthy,Above,Vegetative,46.341942135774765,7.877990332399989
SRR8692572,Solanaceae,leaf,cold,Above,Vegetative,45.391987113364856,30.32727425279139
SRR8692573,Solanaceae,leaf,cold,Above,Vegetative,47.04448385650231,32.36479924949561
SRR8692574,Solanaceae,leaf,cold,Above,Vegetative,49.77347157653682,36.00942144837994
SRR8692575,Solanaceae,leaf,cold,Above,Vegetative,28.804022448277713,22.187397587783067
SRR8692576,Solanaceae,leaf,cold,Above,Vegetative,26.674527951440698,23.311349943123624
SRR8692577,Solanaceae,leaf,cold,Above,Vegetative,29.426686661144135,25.21114827292273
SRR8692568,Solanaceae,leaf,cold,Above,Vegetative,52.864663173528285,37.5424222295346
SRR8692591,Solanaceae,leaf,cold,Above,Vegetative,54.583105708349706,38.340008754912
SRR8692592,Solanaceae,leaf,cold,Above,Vegetative,47.605506480857464,36.51503732869169
SRR8692569,Solanaceae,leaf,cold,Above,Vegetative,41.57626904098186,33.30919386341499
SRR8692570,Solanaceae,leaf,cold,Above,Vegetative,45.02100893373252,27.47605238418707
SRR8692571,Solanaceae,leaf,cold,Above,Vegetative,47.171916680063866,31.14762854964137
SRR8692608,Solanaceae,leaf,cold,Above,Vegetative,19.35832434992684,9.235918303592806
SRR8692609,Solanaceae,leaf,cold,Above,Vegetative,16.71023044266395,6.829849064617349
SRR8692610,Solanaceae,leaf,cold,Above,Vegetative,11.247174129619506,1.413221298602308
SRR8692613,Solanaceae,leaf,heat,Above,Vegetative,17.383751084070205,19.875454252886957
SRR8692633,Solanaceae,leaf,heat,Above,Vegetative,25.061319180171555,21.82129363541047
SRR8692634,Solanaceae,leaf,heat,Above,Vegetative,23.287999341417972,20.78912008118418
SRR8692631,Solanaceae,leaf,heat,Above,Vegetative,32.77884079877091,26.02004227582235
SRR8692632,Solanaceae,leaf,heat,Above,Vegetative,26.02113696788465,24.704943551655575
SRR8692637,Solanaceae,leaf,heat,Above,Vegetative,23.768253584103366,26.32384913248848
SRR8692605,Solanaceae,leaf,heat,Above,Vegetative,43.86276852761818,23.698099685553633
SRR8692606,Solanaceae,leaf,heat,Above,Vegetative,41.7308551054188,22.177490584738617
SRR8692607,Solanaceae,leaf,heat,Above,Vegetative,49.11412740197891,27.927807695907845
SRR8692603,Solanaceae,leaf,heat,Above,Vegetative,32.75310371595717,21.207471624197414
SRR8692604,Solanaceae,leaf,heat,Above,Vegetative,27.118288860821867,22.122377421693752
SRR8692614,Solanaceae,leaf,heat,Above,Vegetative,30.16572329307597,21.139299046314974
SRR8692635,Solanaceae,leaf,heat,Above,Vegetative,29.962590547369093,28.440952503506075
SRR8692636,Solanaceae,leaf,heat,Above,Vegetative,28.587820616299776,28.212207550027156
SRR8692638,Solanaceae,leaf,heat,Above,Vegetative,40.18104118027774,29.34295216740177
SRR8692578,Solanaceae,leaf,other,Above,Vegetative,24.75404298969044,25.777031291708983
SRR8692585,Solanaceae,leaf,other,Above,Vegetative,25.419825528175668,26.988946250294628
SRR8692640,Solanaceae,leaf,other,Above,Vegetative,25.62649002037233,27.906235301196425
SRR8692581,Solanaceae,leaf,other,Above,Vegetative,48.508846831825075,33.01403474807616
SRR8692615,Solanaceae,leaf,other,Above,Vegetative,46.951511350523184,30.006209411830874
SRR8692630,Solanaceae,leaf,other,Above,Vegetative,49.61414558721213,33.404311550155356
SRR8692582,Solanaceae,leaf,other,Above,Vegetative,48.02755632982616,32.28882945965918
SRR8692584,Solanaceae,leaf,other,Above,Vegetative,47.29294681687932,32.29906526793813
SRR8692626,Solanaceae,leaf,other,Above,Vegetative,50.69464589309448,33.94339842254994
SRR8692586,Solanaceae,leaf,other,Above,Vegetative,37.38756692399712,27.400288413818853
SRR8692612,Solanaceae,leaf,other,Above,Vegetative,40.29295129273741,28.902981437508192
SRR8692643,Solanaceae,leaf,other,Above,Vegetative,34.79840718400557,24.36655756678565
SRR8692583,Solanaceae,leaf,other,Above,Vegetative,45.835209025636836,26.574089633216303
SRR8692628,Solanaceae,leaf,other,Above,Vegetative,47.49055937747778,25.61481868338866
SRR8692639,Solanaceae,leaf,other,Above,Vegetative,44.26365627448517,28.80353288651386
SRR8692623,Solanaceae,leaf,healthy,Above,Vegetative,56.563105469440686,38.09725777085228
SRR8692624,Solanaceae,leaf,healthy,Above,Vegetative,53.281057096473454,35.8320778204629
SRR8692625,Solanaceae,leaf,healthy,Above,Vegetative,47.599246977248,33.9437020008807
SRR8692599,Solanaceae,leaf,healthy,Above,Vegetative,27.670278400848055,30.00594512092808
SRR8692600,Solanaceae,leaf,healthy,Above,Vegetative,30.866854578718335,30.17912686689461
SRR8692629,Solanaceae,leaf,healthy,Above,Vegetative,21.074697312456774,24.00016472229027
SRR8692596,Solanaceae,leaf,healthy,Above,Vegetative,45.21128056425155,33.74061419613208
SRR8692601,Solanaceae,leaf,healthy,Above,Vegetative,36.42461014712017,32.3740834058492
SRR8692602,Solanaceae,leaf,healthy,Above,Vegetative,42.376951844475656,33.8449125247983
SRR8692620,Solanaceae,leaf,healthy,Above,Vegetative,52.54590406903559,32.9014356902847
SRR8692621,Solanaceae,leaf,healthy,Above,Vegetative,56.9334043102336,34.062098096743014
SRR8692622,Solanaceae,leaf,healthy,Above,Vegetative,47.534528130132266,31.254491969316625
SRR8692580,Solanaceae,leaf,healthy,Above,Vegetative,48.17714662250497,29.267897749206696
SRR8692618,Solanaceae,leaf,healthy,Above,Vegetative,43.67585207662269,29.770060547186734
SRR8692619,Solanaceae,leaf,healthy,Above,Vegetative,36.60580918618261,22.993195010215427
SRR8692595,Solanaceae,leaf,healthy,Above,Vegetative,52.720978888233205,38.09039751320337
SRR8692597,Solanaceae,leaf,healthy,Above,Vegetative,55.718513997736714,38.11193354335957
SRR8692598,Solanaceae,leaf,healthy,Above,Vegetative,61.02190654076583,37.09809116573119
SRR8692579,Solanaceae,leaf,salt,Above,Vegetative,25.101595780386617,25.631103176574932
SRR8692594,Solanaceae,leaf,salt,Above,Vegetative,29.396399897622263,27.31374822586425
SRR8692644,Solanaceae,leaf,salt,Above,Vegetative,24.69673133472004,23.64680471698731
SRR8692593,Solanaceae,leaf,salt,Above,Vegetative,35.09144704079377,17.765313548357184
SRR8692616,Solanaceae,leaf,salt,Above,Vegetative,37.11802613203131,17.944741506401563
SRR8692617,Solanaceae,leaf,salt,Above,Vegetative,37.88769518465125,16.267091274104967
SRR8692588,Solanaceae,leaf,salt,Above,Vegetative,45.46755449815727,29.60938328902386
SRR8692641,Solanaceae,leaf,salt,Above,Vegetative,46.51126555951738,30.941843279132442
SRR8692642,Solanaceae,leaf,salt,Above,Vegetative,62.11628195168618,32.979711608830655
SRR8692587,Solanaceae,leaf,salt,Above,Vegetative,35.943127055231294,23.832881985509513
SRR8692589,Solanaceae,leaf,salt,Above,Vegetative,37.24344470377638,25.571198000586524
SRR8692590,Solanaceae,leaf,salt,Above,Vegetative,32.43047885551054,23.496660517869252
SRR8692611,Solanaceae,leaf,salt,Above,Vegetative,49.12805141182677,27.96335532771792
